duplicate_content_group,audio_sha256,sample_id,source_row_index,audio_path_raw,speaker_id,accent,emotion,emotion_id,gender,metadata_conflict,conflicting_fields
dup_0021,15c25e0aba2c8ce89151c36849add9b1e156aa436d428d949234db80151394ed,visec_hf_000028,28,00028.wav,15,south,happy,0,male,False,
dup_0044,2dded39de3e7afc40b1a3580c07a772da50a1c5e66b0cdc4d4ffa5514d2f8ebc,visec_hf_000030,30,00030.wav,15,south,sad,2,male,False,
dup_0014,0f20a1941f55b69a62348abd0e8581c79bb9a69ff76810f7dd2a41758b94469c,visec_hf_000049,49,00049.wav,21,south,happy,0,male,False,
dup_0143,7b6b4677eb283a849c2bab75c05132272c158ee785f62457da21d7be7442fe6d,visec_hf_000060,60,00060.wav,12,north,happy,0,male,False,
dup_0112,6509f22e6de7e2a7e618265d9f9737a951db9c6a56f8ca3904aa3b626d341a43,visec_hf_000064,64,00064.wav,15,south,happy,0,male,False,
dup_0174,924bbbd0428a93df0d13e9c0c0b4156f749e10d6339cc31c3d0f940f860ae77e,visec_hf_000066,66,00066.wav,25,north,happy,0,male,False,
dup_0027,1bfb7c99a6f82d9f57f2940ebcf00e0a0cc0a825d593c6243a1b30e670c2e82b,visec_hf_000067,67,00067.wav,26,north,happy,0,male,False,
dup_0141,76a894d3749b276403d7088666116e03b20fe433d126301eddc564f10fcedda3,visec_hf_000091,91,00091.wav,33,central,happy,0,female,False,
dup_0199,a8610d0c9b208718f826bf6c3271e4fcd8a5ff50127575f47deb14d6928c8729,visec_hf_000095,95,00095.wav,15,south,happy,0,male,False,
dup_0080,4fdfcf0979b0bfe9db2124f32ff7f60461863f830b249f62814b067deb3a0125,visec_hf_000101,101,00101.wav,25,north,sad,2,male,True,emotion;emotion_id;speaker_id
dup_0247,de96d3eb6cec38f9a2a6e3d3a6863abe52760da8d4e59b016ba99a519496c605,visec_hf_000107,107,00107.wav,6,central,happy,0,female,False,
dup_0195,a3907430fc2cbce4115c5046c682d1c7539ac296d0ac47be0e1739ff161f988c,visec_hf_000113,113,00113.wav,15,south,happy,0,male,False,
dup_0035,282a00ab0cf63fc53bb0495ae78d0183465b096a66815cbb72137a12612a9067,visec_hf_000120,120,00120.wav,6,central,happy,0,female,False,
dup_0227,c88acf2340761020b389d1658a00cefeb2fb968e6cda0303b287d6eb5d61fa8c,visec_hf_000130,130,00130.wav,40,north,happy,0,female,False,
dup_0160,89983b341caa3d68d7ee33342808dcce6de5f63833f15b13fbdc39716de06159,visec_hf_000138,138,00138.wav,41,north,happy,0,male,False,
dup_0228,c8b0ee8bcf9e68a7d8db2bcf2bb480eba2062638c29a28249274e358c109565e,visec_hf_000141,141,00141.wav,29,north,happy,0,female,False,
dup_0133,70fb5afcf38657435b45cf4b5f0ff0d0c43d3db5e5f1155ba81f91f270d86797,visec_hf_000142,142,00142.wav,42,south,happy,0,female,False,
dup_0120,69de6043f8b332e3978b64ebbe79e5ed9c2044cb7bd3f6281cc616270cc20a2b,visec_hf_000145,145,00145.wav,45,south,happy,0,female,False,
dup_0009,0cd3ad5ff3a4711fd94ef0b7ea9da97b336b75f421c82e9fd30d164a6168598a,visec_hf_000154,154,00154.wav,14,north,happy,0,male,False,
