speaker_id,split_version,main_partition_version,main_client_id,stress_partition_version,stress_client_id,accent,samples
0,speaker_disjoint_v2,main_mixed_accent_v1,main_client_01,stress_accent_domain_v1,stress_client_south,south,2217
1,speaker_disjoint_v2,main_mixed_accent_v1,main_client_02,stress_accent_domain_v1,stress_client_south,south,34
5,speaker_disjoint_v2,main_mixed_accent_v1,main_client_02,stress_accent_domain_v1,stress_client_south,south,21
6,speaker_disjoint_v2,main_mixed_accent_v1,main_client_00,stress_accent_domain_v1,stress_client_central,central,151
7,speaker_disjoint_v2,main_mixed_accent_v1,main_client_00,stress_accent_domain_v1,stress_client_south,south,2
8,speaker_disjoint_v2,main_mixed_accent_v1,main_client_02,stress_accent_domain_v1,stress_client_south,south,11
9,speaker_disjoint_v2,main_mixed_accent_v1,main_client_02,stress_accent_domain_v1,stress_client_south,south,10
10,speaker_disjoint_v2,main_mixed_accent_v1,main_client_01,stress_accent_domain_v1,stress_client_north,north,25
11,speaker_disjoint_v2,main_mixed_accent_v1,main_client_02,stress_accent_domain_v1,stress_client_south,south,2
12,speaker_disjoint_v2,main_mixed_accent_v1,main_client_00,stress_accent_domain_v1,stress_client_north,north,100
14,speaker_disjoint_v2,main_mixed_accent_v1,main_client_02,stress_accent_domain_v1,stress_client_north,north,115
16,speaker_disjoint_v2,main_mixed_accent_v1,main_client_01,stress_accent_domain_v1,stress_client_north,north,54
17,speaker_disjoint_v2,main_mixed_accent_v1,main_client_01,stress_accent_domain_v1,stress_client_central,central,2
20,speaker_disjoint_v2,main_mixed_accent_v1,main_client_02,stress_accent_domain_v1,stress_client_south,south,2
21,speaker_disjoint_v2,main_mixed_accent_v1,main_client_00,stress_accent_domain_v1,stress_client_south,south,15
25,speaker_disjoint_v2,main_mixed_accent_v1,main_client_01,stress_accent_domain_v1,stress_client_north,north,51
27,speaker_disjoint_v2,main_mixed_accent_v1,main_client_01,stress_accent_domain_v1,stress_client_north,north,52
31,speaker_disjoint_v2,main_mixed_accent_v1,main_client_01,stress_accent_domain_v1,stress_client_north,north,6
36,speaker_disjoint_v2,main_mixed_accent_v1,main_client_01,stress_accent_domain_v1,stress_client_north,north,21
37,speaker_disjoint_v2,main_mixed_accent_v1,main_client_01,stress_accent_domain_v1,stress_client_central,central,7
40,speaker_disjoint_v2,main_mixed_accent_v1,main_client_01,stress_accent_domain_v1,stress_client_north,north,16
41,speaker_disjoint_v2,main_mixed_accent_v1,main_client_01,stress_accent_domain_v1,stress_client_north,north,6
42,speaker_disjoint_v2,main_mixed_accent_v1,main_client_00,stress_accent_domain_v1,stress_client_south,south,11
43,speaker_disjoint_v2,main_mixed_accent_v1,main_client_02,stress_accent_domain_v1,stress_client_south,south,2
45,speaker_disjoint_v2,main_mixed_accent_v1,main_client_00,stress_accent_domain_v1,stress_client_south,south,7
46,speaker_disjoint_v2,main_mixed_accent_v1,main_client_01,stress_accent_domain_v1,stress_client_north,north,17
47,speaker_disjoint_v2,main_mixed_accent_v1,main_client_01,stress_accent_domain_v1,stress_client_north,north,23
48,speaker_disjoint_v2,main_mixed_accent_v1,main_client_01,stress_accent_domain_v1,stress_client_north,north,5
50,speaker_disjoint_v2,main_mixed_accent_v1,main_client_01,stress_accent_domain_v1,stress_client_north,north,33
51,speaker_disjoint_v2,main_mixed_accent_v1,main_client_00,stress_accent_domain_v1,stress_client_south,south,13
54,speaker_disjoint_v2,main_mixed_accent_v1,main_client_01,stress_accent_domain_v1,stress_client_north,north,20
55,speaker_disjoint_v2,main_mixed_accent_v1,main_client_02,stress_accent_domain_v1,stress_client_south,south,17
56,speaker_disjoint_v2,main_mixed_accent_v1,main_client_02,stress_accent_domain_v1,stress_client_south,south,16
57,speaker_disjoint_v2,main_mixed_accent_v1,main_client_01,stress_accent_domain_v1,stress_client_north,north,77
61,speaker_disjoint_v2,main_mixed_accent_v1,main_client_01,stress_accent_domain_v1,stress_client_north,north,13
64,speaker_disjoint_v2,main_mixed_accent_v1,main_client_02,stress_accent_domain_v1,stress_client_south,south,21
66,speaker_disjoint_v2,main_mixed_accent_v1,main_client_01,stress_accent_domain_v1,stress_client_north,north,9
67,speaker_disjoint_v2,main_mixed_accent_v1,main_client_01,stress_accent_domain_v1,stress_client_north,north,3
68,speaker_disjoint_v2,main_mixed_accent_v1,main_client_02,stress_accent_domain_v1,stress_client_south,south,3
70,speaker_disjoint_v2,main_mixed_accent_v1,main_client_02,stress_accent_domain_v1,stress_client_south,south,11
71,speaker_disjoint_v2,main_mixed_accent_v1,main_client_00,stress_accent_domain_v1,stress_client_south,south,10
72,speaker_disjoint_v2,main_mixed_accent_v1,main_client_01,stress_accent_domain_v1,stress_client_central,central,26
73,speaker_disjoint_v2,main_mixed_accent_v1,main_client_01,stress_accent_domain_v1,stress_client_north,north,14
74,speaker_disjoint_v2,main_mixed_accent_v1,main_client_01,stress_accent_domain_v1,stress_client_north,north,6
75,speaker_disjoint_v2,main_mixed_accent_v1,main_client_01,stress_accent_domain_v1,stress_client_north,north,10
76,speaker_disjoint_v2,main_mixed_accent_v1,main_client_00,stress_accent_domain_v1,stress_client_south,south,4
77,speaker_disjoint_v2,main_mixed_accent_v1,main_client_01,stress_accent_domain_v1,stress_client_north,north,6
79,speaker_disjoint_v2,main_mixed_accent_v1,main_client_02,stress_accent_domain_v1,stress_client_south,south,1
80,speaker_disjoint_v2,main_mixed_accent_v1,main_client_01,stress_accent_domain_v1,stress_client_north,north,4
81,speaker_disjoint_v2,main_mixed_accent_v1,main_client_02,stress_accent_domain_v1,stress_client_south,south,4
82,speaker_disjoint_v2,main_mixed_accent_v1,main_client_00,stress_accent_domain_v1,stress_client_south,south,11
83,speaker_disjoint_v2,main_mixed_accent_v1,main_client_00,stress_accent_domain_v1,stress_client_south,south,31
85,speaker_disjoint_v2,main_mixed_accent_v1,main_client_02,stress_accent_domain_v1,stress_client_south,south,14
87,speaker_disjoint_v2,main_mixed_accent_v1,main_client_01,stress_accent_domain_v1,stress_client_north,north,29
88,speaker_disjoint_v2,main_mixed_accent_v1,main_client_02,stress_accent_domain_v1,stress_client_south,south,6
89,speaker_disjoint_v2,main_mixed_accent_v1,main_client_01,stress_accent_domain_v1,stress_client_central,central,2
90,speaker_disjoint_v2,main_mixed_accent_v1,main_client_01,stress_accent_domain_v1,stress_client_north,north,11
91,speaker_disjoint_v2,main_mixed_accent_v1,main_client_01,stress_accent_domain_v1,stress_client_north,north,6
92,speaker_disjoint_v2,main_mixed_accent_v1,main_client_02,stress_accent_domain_v1,stress_client_central,central,5
93,speaker_disjoint_v2,main_mixed_accent_v1,main_client_02,stress_accent_domain_v1,stress_client_south,south,5
95,speaker_disjoint_v2,main_mixed_accent_v1,main_client_01,stress_accent_domain_v1,stress_client_north,north,16
96,speaker_disjoint_v2,main_mixed_accent_v1,main_client_00,stress_accent_domain_v1,stress_client_south,south,16
97,speaker_disjoint_v2,main_mixed_accent_v1,main_client_00,stress_accent_domain_v1,stress_client_south,south,18
98,speaker_disjoint_v2,main_mixed_accent_v1,main_client_01,stress_accent_domain_v1,stress_client_north,north,12
100,speaker_disjoint_v2,main_mixed_accent_v1,main_client_01,stress_accent_domain_v1,stress_client_north,north,3
101,speaker_disjoint_v2,main_mixed_accent_v1,main_client_02,stress_accent_domain_v1,stress_client_central,central,15
103,speaker_disjoint_v2,main_mixed_accent_v1,main_client_01,stress_accent_domain_v1,stress_client_north,north,6
104,speaker_disjoint_v2,main_mixed_accent_v1,main_client_01,stress_accent_domain_v1,stress_client_north,north,7
105,speaker_disjoint_v2,main_mixed_accent_v1,main_client_02,stress_accent_domain_v1,stress_client_south,south,7
106,speaker_disjoint_v2,main_mixed_accent_v1,main_client_01,stress_accent_domain_v1,stress_client_central,central,6
107,speaker_disjoint_v2,main_mixed_accent_v1,main_client_01,stress_accent_domain_v1,stress_client_north,north,10
109,speaker_disjoint_v2,main_mixed_accent_v1,main_client_02,stress_accent_domain_v1,stress_client_south,south,2
110,speaker_disjoint_v2,main_mixed_accent_v1,main_client_00,stress_accent_domain_v1,stress_client_south,south,8
111,speaker_disjoint_v2,main_mixed_accent_v1,main_client_00,stress_accent_domain_v1,stress_client_south,south,17
112,speaker_disjoint_v2,main_mixed_accent_v1,main_client_02,stress_accent_domain_v1,stress_client_south,south,2
113,speaker_disjoint_v2,main_mixed_accent_v1,main_client_00,stress_accent_domain_v1,stress_client_south,south,12
114,speaker_disjoint_v2,main_mixed_accent_v1,main_client_02,stress_accent_domain_v1,stress_client_south,south,4
115,speaker_disjoint_v2,main_mixed_accent_v1,main_client_00,stress_accent_domain_v1,stress_client_south,south,7
117,speaker_disjoint_v2,main_mixed_accent_v1,main_client_01,stress_accent_domain_v1,stress_client_north,north,4
118,speaker_disjoint_v2,main_mixed_accent_v1,main_client_02,stress_accent_domain_v1,stress_client_south,south,1
120,speaker_disjoint_v2,main_mixed_accent_v1,main_client_00,stress_accent_domain_v1,stress_client_south,south,7
121,speaker_disjoint_v2,main_mixed_accent_v1,main_client_01,stress_accent_domain_v1,stress_client_north,north,2
123,speaker_disjoint_v2,main_mixed_accent_v1,main_client_02,stress_accent_domain_v1,stress_client_south,south,8
124,speaker_disjoint_v2,main_mixed_accent_v1,main_client_00,stress_accent_domain_v1,stress_client_south,south,12
126,speaker_disjoint_v2,main_mixed_accent_v1,main_client_01,stress_accent_domain_v1,stress_client_central,central,5
127,speaker_disjoint_v2,main_mixed_accent_v1,main_client_01,stress_accent_domain_v1,stress_client_north,north,2
128,speaker_disjoint_v2,main_mixed_accent_v1,main_client_00,stress_accent_domain_v1,stress_client_south,south,6
129,speaker_disjoint_v2,main_mixed_accent_v1,main_client_01,stress_accent_domain_v1,stress_client_central,central,2
130,speaker_disjoint_v2,main_mixed_accent_v1,main_client_02,stress_accent_domain_v1,stress_client_south,south,2
131,speaker_disjoint_v2,main_mixed_accent_v1,main_client_01,stress_accent_domain_v1,stress_client_north,north,2
132,speaker_disjoint_v2,main_mixed_accent_v1,main_client_01,stress_accent_domain_v1,stress_client_north,north,5
133,speaker_disjoint_v2,main_mixed_accent_v1,main_client_02,stress_accent_domain_v1,stress_client_south,south,6
134,speaker_disjoint_v2,main_mixed_accent_v1,main_client_02,stress_accent_domain_v1,stress_client_south,south,2
135,speaker_disjoint_v2,main_mixed_accent_v1,main_client_02,stress_accent_domain_v1,stress_client_south,south,5
136,speaker_disjoint_v2,main_mixed_accent_v1,main_client_02,stress_accent_domain_v1,stress_client_south,south,1
137,speaker_disjoint_v2,main_mixed_accent_v1,main_client_01,stress_accent_domain_v1,stress_client_north,north,2
138,speaker_disjoint_v2,main_mixed_accent_v1,main_client_02,stress_accent_domain_v1,stress_client_south,south,1
139,speaker_disjoint_v2,main_mixed_accent_v1,main_client_02,stress_accent_domain_v1,stress_client_south,south,3
140,speaker_disjoint_v2,main_mixed_accent_v1,main_client_02,stress_accent_domain_v1,stress_client_south,south,2
142,speaker_disjoint_v2,main_mixed_accent_v1,main_client_01,stress_accent_domain_v1,stress_client_north,north,2
143,speaker_disjoint_v2,main_mixed_accent_v1,main_client_02,stress_accent_domain_v1,stress_client_central,central,2
