source_row_id,source_row_index,sample_id,source_name,source_release_id,audio_locator,audio_path_raw,speaker_id_raw,speaker_id,duration_sec_metadata,accent_raw,accent,emotion_raw,emotion_id_raw,emotion,emotion_id,gender_raw,gender,embedded_audio_present,audio_readable,audio_sha256,file_size_bytes,sample_rate_hz,num_channels,sample_width_bytes,num_frames,duration_sec_measured,compression_type,peak_amplitude_ratio,clipped_sample_count,clipped_sample_ratio,possible_clipping,silent_frame_ratio,high_silence_ratio,duration_delta_sec,duplicate_content_group,requires_review,audit_issue
hf_row_000000,0,visec_hf_000000,huggingface,06926b7a1dca5f6627b47a2446492be6ff061716,data/train-00000-of-00001.parquet#row=0,00000.wav,0,0,2.5080625,south,south,happy,0,happy,0,female,female,True,True,21be0e756ee65db9084073026f33af891c94f9445cf0db3dc955c79141ea27f7,80302,16000,1,2,40129,2.5080625,NONE,0.1304931640625,0,0.0,False,0.18253968253968253,False,0.0,,False,
hf_row_000001,1,visec_hf_000001,huggingface,06926b7a1dca5f6627b47a2446492be6ff061716,data/train-00000-of-00001.parquet#row=1,00001.wav,1,1,1.6,south,south,neutral,1,neutral,1,male,male,True,True,fd27f151273d33970f727662ade2dd279dbeaa0398025b3bb9d0410100cc642f,51278,16000,1,2,25600,1.6,NONE,0.959991455078125,0,0.0,False,0.0,False,0.0,,False,
hf_row_000002,2,visec_hf_000002,huggingface,06926b7a1dca5f6627b47a2446492be6ff061716,data/train-00000-of-00001.parquet#row=2,00002.wav,2,2,1.472,south,south,angry,3,angry,3,female,female,True,True,76197835c44fdb0b569f6e58d345546dc953bed0c6a4a9d2922fab8f110d7ed4,47182,16000,1,2,23552,1.472,NONE,1.0,62,0.0026324728260869565,True,0.14864864864864866,False,0.0,,True,possible_clipping
hf_row_000003,3,visec_hf_000003,huggingface,06926b7a1dca5f6627b47a2446492be6ff061716,data/train-00000-of-00001.parquet#row=3,00003.wav,3,3,3.648,north,north,happy,0,happy,0,female,female,True,True,7a583454493e26fb84ef3d85d2f420eab50aa203349d0627c8e45dc00e50aeee,116814,16000,1,2,58368,3.648,NONE,0.5966796875,0,0.0,False,0.060109289617486336,False,0.0,,False,
hf_row_000004,4,visec_hf_000004,huggingface,06926b7a1dca5f6627b47a2446492be6ff061716,data/train-00000-of-00001.parquet#row=4,00004.wav,4,4,3.584,south,south,neutral,1,neutral,1,male,male,True,True,3b10370ec787fc5401ed89f792f2fa14f57e11131e4940303c75f1d3ec2e4b3c,114766,16000,1,2,57344,3.584,NONE,0.928863525390625,0,0.0,False,0.10555555555555556,False,0.0,,False,
hf_row_000005,5,visec_hf_000005,huggingface,06926b7a1dca5f6627b47a2446492be6ff061716,data/train-00000-of-00001.parquet#row=5,00005.wav,0,0,1.663,south,south,angry,3,angry,3,female,female,True,True,3dd769d7f76356dbf57b067a20b3d0200ea65742e6fefdb13690fb83f62cf494,53260,16000,1,2,26608,1.663,NONE,0.12030029296875,0,0.0,False,0.7857142857142857,True,0.0,,True,high_silence_ratio
hf_row_000006,6,visec_hf_000006,huggingface,06926b7a1dca5f6627b47a2446492be6ff061716,data/train-00000-of-00001.parquet#row=6,00006.wav,5,5,1.088,south,south,neutral,1,neutral,1,female,female,True,True,aabc73ac5bdeaaa4c46c1269b2bf0347f300b49fc0fca66f46afe4ff624d2714,34894,16000,1,2,17408,1.088,NONE,0.2862548828125,0,0.0,False,0.01818181818181818,False,0.0,,False,
hf_row_000007,7,visec_hf_000007,huggingface,06926b7a1dca5f6627b47a2446492be6ff061716,data/train-00000-of-00001.parquet#row=7,00007.wav,6,6,1.6,mid,central,neutral,1,neutral,1,female,female,True,True,fb76c0ebb33b59ab134891ff5748e70076174c1b28b6354dc93c3b678a849d0f,51278,16000,1,2,25600,1.6,NONE,0.23095703125,0,0.0,False,0.15,False,0.0,,False,
hf_row_000008,8,visec_hf_000008,huggingface,06926b7a1dca5f6627b47a2446492be6ff061716,data/train-00000-of-00001.parquet#row=8,00008.wav,7,7,5.056,south,south,neutral,1,neutral,1,male,male,True,True,0c9ade957b80b1071fc216ab9e6fe37342f7639519e164e6259c24f045190fcd,161870,16000,1,2,80896,5.056,NONE,0.943145751953125,0,0.0,False,0.0,False,0.0,,False,
hf_row_000009,9,visec_hf_000009,huggingface,06926b7a1dca5f6627b47a2446492be6ff061716,data/train-00000-of-00001.parquet#row=9,00009.wav,0,0,1.922,south,south,angry,3,angry,3,female,female,True,True,a1a12ac64113c9ead05afcbbd05f5b5ad313e5a03f062866f80c07779b4b2844,61548,16000,1,2,30752,1.922,NONE,0.199371337890625,0,0.0,False,0.38144329896907214,False,0.0,,False,
hf_row_000010,10,visec_hf_000010,huggingface,06926b7a1dca5f6627b47a2446492be6ff061716,data/train-00000-of-00001.parquet#row=10,00010.wav,8,8,1.6,south,south,neutral,1,neutral,1,female,female,True,True,418ef370dc055e5ec2d7b5c8d9def6597f1a19f99fa99f4eeab1b8059a74fa75,51278,16000,1,2,25600,1.6,NONE,0.158905029296875,0,0.0,False,0.35,False,0.0,,False,
hf_row_000011,11,visec_hf_000011,huggingface,06926b7a1dca5f6627b47a2446492be6ff061716,data/train-00000-of-00001.parquet#row=11,00011.wav,0,0,1.483,south,south,angry,3,angry,3,female,female,True,True,139862181b6485fbf3fb96b3786bd74e69042fac95c7cf061a991c1e4fd4ed7a,47500,16000,1,2,23728,1.483,NONE,0.219146728515625,0,0.0,False,0.6533333333333333,True,0.0,,True,high_silence_ratio
hf_row_000012,12,visec_hf_000012,huggingface,06926b7a1dca5f6627b47a2446492be6ff061716,data/train-00000-of-00001.parquet#row=12,00012.wav,9,9,2.368,south,south,sad,2,sad,2,female,female,True,True,5dc90574c33f11196f3a18e739831d537a8381c311183d5a5862840cf5d7a09e,75854,16000,1,2,37888,2.368,NONE,0.150482177734375,0,0.0,False,0.42857142857142855,False,0.0,,False,
hf_row_000013,13,visec_hf_000013,huggingface,06926b7a1dca5f6627b47a2446492be6ff061716,data/train-00000-of-00001.parquet#row=13,00013.wav,0,0,2.19,south,south,neutral,1,neutral,1,female,female,True,True,e48ee517449de8a6d299e1bff095392124aff98519135182be93d49cda0b6fb7,70124,16000,1,2,35040,2.19,NONE,0.161163330078125,0,0.0,False,0.22727272727272727,False,0.0,,False,
hf_row_000014,14,visec_hf_000014,huggingface,06926b7a1dca5f6627b47a2446492be6ff061716,data/train-00000-of-00001.parquet#row=14,00014.wav,0,0,1.71,south,south,sad,2,sad,2,female,female,True,True,675a423a7acc2cf203530b1bd7a36efdc99bc70b721832fd228eee96c359aa3c,54764,16000,1,2,27360,1.71,NONE,0.170501708984375,0,0.0,False,0.37209302325581395,False,0.0,,False,
hf_row_000015,15,visec_hf_000015,huggingface,06926b7a1dca5f6627b47a2446492be6ff061716,data/train-00000-of-00001.parquet#row=15,00015.wav,10,10,2.368,north,north,neutral,1,neutral,1,male,male,True,True,f76ddbd833a01d97a78a1fc63f2b80df1e18a150f03a60d540c6fa7dcb0369bd,75854,16000,1,2,37888,2.368,NONE,0.452728271484375,0,0.0,False,0.3277310924369748,False,0.0,,False,
hf_row_000016,16,visec_hf_000016,huggingface,06926b7a1dca5f6627b47a2446492be6ff061716,data/train-00000-of-00001.parquet#row=16,00016.wav,11,11,2.752,south,south,neutral,1,neutral,1,male,male,True,True,e00f87d81dafc2d296add0a7dea59410f028a22251f008b64038868e7e44c10d,88142,16000,1,2,44032,2.752,NONE,0.712677001953125,0,0.0,False,0.07246376811594203,False,0.0,,False,
hf_row_000017,17,visec_hf_000017,huggingface,06926b7a1dca5f6627b47a2446492be6ff061716,data/train-00000-of-00001.parquet#row=17,00017.wav,12,12,6.656,north,north,angry,3,angry,3,male,male,True,True,e5fa4326aeb9b67984c9e523a7477661fd5d3feff53f3534ffd4050e29051e03,213070,16000,1,2,106496,6.656,NONE,0.91693115234375,0,0.0,False,0.3003003003003003,False,0.0,,False,
hf_row_000018,18,visec_hf_000018,huggingface,06926b7a1dca5f6627b47a2446492be6ff061716,data/train-00000-of-00001.parquet#row=18,00018.wav,0,0,1.04,south,south,angry,3,angry,3,female,female,True,True,722f14bbbfcf822698738090e9d4cde33b953a000fa5888cc7f6301d1bc58f24,33324,16000,1,2,16640,1.04,NONE,0.235504150390625,0,0.0,False,0.19230769230769232,False,0.0,,False,
hf_row_000019,19,visec_hf_000019,huggingface,06926b7a1dca5f6627b47a2446492be6ff061716,data/train-00000-of-00001.parquet#row=19,00019.wav,0,0,2.12,south,south,neutral,1,neutral,1,female,female,True,True,8ed979a685035d4ca06e0926fdec68aca352d0b988fb979fc33a15b8a24083f5,67884,16000,1,2,33920,2.12,NONE,0.13848876953125,0,0.0,False,0.39622641509433965,False,0.0,,False,
hf_row_000020,20,visec_hf_000020,huggingface,06926b7a1dca5f6627b47a2446492be6ff061716,data/train-00000-of-00001.parquet#row=20,00020.wav,6,6,1.472,mid,central,neutral,1,neutral,1,female,female,True,True,1bc2c2532a72f7b0ba8e1555f850a01cb1549e04c2c3cb02318d1debf515192d,47182,16000,1,2,23552,1.472,NONE,0.3939208984375,0,0.0,False,0.35135135135135137,False,0.0,,False,
hf_row_000021,21,visec_hf_000021,huggingface,06926b7a1dca5f6627b47a2446492be6ff061716,data/train-00000-of-00001.parquet#row=21,00021.wav,0,0,1.98,south,south,angry,3,angry,3,female,female,True,True,0ecc9f3d7bd560a4bf3cf5a1154fc7f3ea76e43b66f22c58a91c9b2973bcd02b,63404,16000,1,2,31680,1.98,NONE,0.22039794921875,0,0.0,False,0.37373737373737376,False,0.0,,False,
hf_row_000022,22,visec_hf_000022,huggingface,06926b7a1dca5f6627b47a2446492be6ff061716,data/train-00000-of-00001.parquet#row=22,00022.wav,0,0,2.1,south,south,angry,3,angry,3,female,female,True,True,31c18bb5bd28a31bc6642a811f222fc5f0874a3a73955910fd80cfc806e9ee52,67244,16000,1,2,33600,2.1,NONE,0.2554931640625,0,0.0,False,0.29523809523809524,False,0.0,,False,
