sample_id,original_split,relative_path,file_name,sha256,utterance_id,view,folder_label,filename_label_raw,filename_label,source_id,speaker_local_id,speaker_id,gender,is_child,sample_rate_hz,channels,sample_width_bytes,frame_count,duration_seconds,compression_type,issues
7d3364d63706edaf,test,Angry/angry_p01_F1_2433_2436.wav,angry_p01_F1_2433_2436.wav,7d3364d63706edaf4d1db3854896b4a5ccb8b23178637e65bf7acdbc6b6e24bd,angry_p01_f1_2433_2436,raw,angry,angry,angry,p01,F1,p01:F1,F,False,24200,1,2,77434,3.199752066,NONE,
d69340578108654d,test,Angry/angry_p01_F1_2639_2622.wav,angry_p01_F1_2639_2622.wav,d69340578108654d47754fbb676d8cc13a76c3d155e70bc75f2dc51c703e360a,angry_p01_f1_2639_2622,raw,angry,angry,angry,p01,F1,p01:F1,F,False,24200,1,2,130390,5.388016529,NONE,
58098f813352efcd,test,Angry/angry_p01_M2_2230_2235.wav,angry_p01_M2_2230_2235.wav,58098f813352efcd5ad534c6b811be9fd896c67eb6b27ca55b6fe7f2bf8793e2,angry_p01_m2_2230_2235,raw,angry,angry,angry,p01,M2,p01:M2,M,False,24200,1,2,143413,5.926157025,NONE,
63f83c8ae3e806f0,test,Angry/angry_p01_M2_2620_2625.wav,angry_p01_M2_2620_2625.wav,63f83c8ae3e806f05654ef78eba49f931081bd78ec0be09af350cc2fbf996358,angry_p01_m2_2620_2625,raw,angry,angry,angry,p01,M2,p01:M2,M,False,24200,1,2,119991,4.958305785,NONE,
97852ac963f52488,test,Angry/angry_p01_M2_2634_2629.wav,angry_p01_M2_2634_2629.wav,97852ac963f524886d6b263b061769a9b41dfb29c078af1e0dc4c7129cefb409,angry_p01_m2_2634_2629,raw,angry,angry,angry,p01,M2,p01:M2,M,False,24200,1,2,111032,4.588099174,NONE,
14e7b6344ffcb79a,test,Angry/angry_p01_M2_3034_3037.wav,angry_p01_M2_3034_3037.wav,14e7b6344ffcb79a568006917a6b4c36e94bc0134bb8fa5e02613b39792bad26,angry_p01_m2_3034_3037,raw,angry,angry,angry,p01,M2,p01:M2,M,False,24200,1,2,88467,3.655661157,NONE,
bec1f7a32f3e153b,test,Angry/angry_p01_M2_322_328.wav,angry_p01_M2_322_328.wav,bec1f7a32f3e153b9459f0a8888f23550acda797838b1af9849413615ca9f3ae,angry_p01_m2_322_328,raw,angry,angry,angry,p01,M2,p01:M2,M,False,24200,1,2,148022,6.11661157,NONE,
e1e472e4b7b8e4c1,test,Angry/angry_p01_M2_322_328_vocals.wav,angry_p01_M2_322_328_vocals.wav,e1e472e4b7b8e4c1cf8a258e2fefdc99a22f659277e0a389a986435caec0ba23,angry_p01_m2_322_328,processed,angry,angry,angry,p01,M2,p01:M2,M,False,24400,1,2,149246,6.116639344,NONE,
2adb920263a89493,test,Angry/angry_p02_M1_4754_4756.wav,angry_p02_M1_4754_4756.wav,2adb920263a894937b4dec8f3648f37f9a27c0f7ca5ed390c2e565bc237a36e2,angry_p02_m1_4754_4756,raw,angry,angry,angry,p02,M1,p02:M1,M,False,24200,1,2,53772,2.221983471,NONE,
02b78e1e90d37b6f,test,Angry/angry_p02_M2_12026_12029.wav,angry_p02_M2_12026_12029.wav,02b78e1e90d37b6fd462bfaba1c4f471ec90c4e8e0130d7dced3148d494ec33b,angry_p02_m2_12026_12029,raw,angry,angry,angry,p02,M2,p02:M2,M,False,24200,1,2,62525,2.583677686,NONE,
