split,accent,emotion,utterances,speakers,pct_of_split,emotion_rank
train,central,angry,6,5,0.17,4
train,central,happy,93,5,2.62,1
train,central,neutral,87,11,2.45,2
train,central,sad,7,5,0.2,3
train,north,angry,170,22,4.79,3
train,north,happy,141,25,3.98,4
train,north,neutral,264,34,7.44,1
train,north,sad,193,25,5.44,2
train,south,angry,910,24,25.66,1
train,south,happy,456,20,12.86,4
train,south,neutral,678,28,19.11,2
train,south,sad,542,23,15.28,3
validation,central,angry,7,1,0.97,3
validation,central,happy,7,3,0.97,3
validation,central,neutral,22,3,3.04,1
validation,central,sad,8,1,1.1,2
validation,north,angry,98,5,13.54,1
validation,north,happy,70,6,9.67,2
validation,north,neutral,28,4,3.87,3
validation,north,sad,10,4,1.38,4
validation,south,angry,82,10,11.33,3
validation,south,happy,61,11,8.43,4
validation,south,neutral,192,11,26.52,1
validation,south,sad,139,12,19.2,2
test,central,angry,12,1,1.66,2
test,central,happy,17,3,2.36,1
test,central,neutral,9,3,1.25,3
test,central,sad,0,0,0.0,4
test,north,angry,63,8,8.74,1
test,north,happy,57,5,7.91,2
test,north,neutral,49,7,6.8,3
test,north,sad,40,4,5.55,4
test,south,angry,117,11,16.23,2
test,south,happy,71,6,9.85,4
test,south,neutral,176,11,24.41,1
test,south,sad,110,10,15.26,3
