sample_id,source_row_index,speaker_id,emotion,accent,audio_sha256,feature_family,feature_version,artifact_path,artifact_sha256,shape,dtype,finite_fraction,status,error
visec_hf_000000,0,0,happy,south,21be0e756ee65db9084073026f33af891c94f9445cf0db3dc955c79141ea27f7,mfcc40_summary,b4_features_v1,data/interim/features/b4_features_v1/handcrafted_full/mfcc40_summary/visec_hf_000000.npy,efd0ac408ef21659fb4f1f0061bc4ac822a53df7057cde06fb3d00fbfac8a0c0,80,float32,1.00000000,ok,
visec_hf_000000,0,0,happy,south,21be0e756ee65db9084073026f33af891c94f9445cf0db3dc955c79141ea27f7,egemaps_v02,b4_features_v1,data/interim/features/b4_features_v1/handcrafted_full/egemaps_v02/visec_hf_000000.npy,e3f32b4a55ad04fcd2a46bf66e509d2b965b3396a08374ae3f27918d10965f48,88,float32,1.00000000,ok,
visec_hf_000000,0,0,happy,south,21be0e756ee65db9084073026f33af891c94f9445cf0db3dc955c79141ea27f7,log_mel_80,b4_features_v1,data/interim/features/b4_features_v1/handcrafted_full/log_mel_80/visec_hf_000000.npy,dcfef4573abe959530b13353880b3ba1f6c8f1197b367b12a2711dd023fb711d,80x251,float32,1.00000000,ok,
visec_hf_000000,0,0,happy,south,21be0e756ee65db9084073026f33af891c94f9445cf0db3dc955c79141ea27f7,pitch_contour,b4_features_v1,data/interim/features/b4_features_v1/handcrafted_full/pitch_contour/visec_hf_000000.npz,41e80762f64a144ddd9daa7d154b282dae2aaac6979f589c0fab39343f2409ce,frames=251;summary=6,float32,0.85657371,ok,
visec_hf_000001,1,1,neutral,south,fd27f151273d33970f727662ade2dd279dbeaa0398025b3bb9d0410100cc642f,mfcc40_summary,b4_features_v1,data/interim/features/b4_features_v1/handcrafted_full/mfcc40_summary/visec_hf_000001.npy,c594c4e68c3511413576244db5f8f87800dc292f823fd33372ba7683bc94f558,80,float32,1.00000000,ok,
visec_hf_000001,1,1,neutral,south,fd27f151273d33970f727662ade2dd279dbeaa0398025b3bb9d0410100cc642f,egemaps_v02,b4_features_v1,data/interim/features/b4_features_v1/handcrafted_full/egemaps_v02/visec_hf_000001.npy,bdbdcde54a1e9d2dfa8a7e263af7dd6f73ce7a983dc25a0a16793c2ce36d6638,88,float32,1.00000000,ok,
visec_hf_000001,1,1,neutral,south,fd27f151273d33970f727662ade2dd279dbeaa0398025b3bb9d0410100cc642f,log_mel_80,b4_features_v1,data/interim/features/b4_features_v1/handcrafted_full/log_mel_80/visec_hf_000001.npy,e8b83fa8b25d574651c558dfbdea804190053ab65355f668e480f17dd493db0c,80x161,float32,1.00000000,ok,
visec_hf_000001,1,1,neutral,south,fd27f151273d33970f727662ade2dd279dbeaa0398025b3bb9d0410100cc642f,pitch_contour,b4_features_v1,data/interim/features/b4_features_v1/handcrafted_full/pitch_contour/visec_hf_000001.npz,da72cb9702f630b87d4fb5ec957d6162427c25ac8ec33a4adf729c3f84bdaafa,frames=161;summary=6,float32,0.20496894,ok,
visec_hf_000002,2,2,angry,south,76197835c44fdb0b569f6e58d345546dc953bed0c6a4a9d2922fab8f110d7ed4,mfcc40_summary,b4_features_v1,data/interim/features/b4_features_v1/handcrafted_full/mfcc40_summary/visec_hf_000002.npy,81423a6b069fad061cc7a33334366a20237a5be8bfb7d08e87446da87d550832,80,float32,1.00000000,ok,
visec_hf_000002,2,2,angry,south,76197835c44fdb0b569f6e58d345546dc953bed0c6a4a9d2922fab8f110d7ed4,egemaps_v02,b4_features_v1,data/interim/features/b4_features_v1/handcrafted_full/egemaps_v02/visec_hf_000002.npy,9868521ac68242a920c55b9b55c6a5018bce42abb8c980a76c1a36cb31921303,88,float32,1.00000000,ok,
