sample_id,source_row_index,speaker_id,emotion,accent,audio_sha256,feature_family,feature_version,model_revision,artifact_path,artifact_sha256,shape,dtype,finite_fraction,status,error
visec_hf_003719,3719,6,happy,central,1d78c541aa36e0738f7b0111c92ac92f9a21a61699280754e080ca2018ae319c,wav2vec2_embedding,b4_features_v1,86bde51fa76dd7f2c4c1bb28d7475d622639f869,data/interim/features/b4_features_v1/wav2vec2_chunk_o003584_n000256/wav2vec2_embedding/visec_hf_003719.npy,08318ecb2bf8fc595e0e112a4a89e3a8e51d97e6df33a83bcb2d1ab7c210a548,768,float32,1.00000000,ok,
visec_hf_003720,3720,0,angry,south,2894bbe175c403a6938adda95ed94e4bd65dd5cbc451c928214c810e3b55a4f4,wav2vec2_embedding,b4_features_v1,86bde51fa76dd7f2c4c1bb28d7475d622639f869,data/interim/features/b4_features_v1/wav2vec2_chunk_o003584_n000256/wav2vec2_embedding/visec_hf_003720.npy,dc94ccd863e443be73653793648a3c977794eb4113ff5ef274a339dae215d41d,768,float32,1.00000000,ok,
visec_hf_003721,3721,0,neutral,south,59c3fdae0185acd5bbffd170a8191c7864795a0fdb0cc402b4b724abaf19b657,wav2vec2_embedding,b4_features_v1,86bde51fa76dd7f2c4c1bb28d7475d622639f869,data/interim/features/b4_features_v1/wav2vec2_chunk_o003584_n000256/wav2vec2_embedding/visec_hf_003721.npy,7f64e1ce3847f4ad9024f83215a280448c71a3996b2e60ee235bd30da2e78541,768,float32,1.00000000,ok,
visec_hf_003722,3722,16,neutral,north,8b45fac856495c33cbac50c5b07c1780cf8b4df946d91f931858ecbd15c2bae1,wav2vec2_embedding,b4_features_v1,86bde51fa76dd7f2c4c1bb28d7475d622639f869,data/interim/features/b4_features_v1/wav2vec2_chunk_o003584_n000256/wav2vec2_embedding/visec_hf_003722.npy,d8e3ad075f3c95f22cc96d0219026e91a911feb641a7b2874ae55d74ab87b793,768,float32,1.00000000,ok,
visec_hf_003723,3723,69,neutral,central,b753c5aca9cdc6508a99bc23f2226a67181e4483dff0921345f0993cae562f25,wav2vec2_embedding,b4_features_v1,86bde51fa76dd7f2c4c1bb28d7475d622639f869,data/interim/features/b4_features_v1/wav2vec2_chunk_o003584_n000256/wav2vec2_embedding/visec_hf_003723.npy,381b3b87135d7b786f1c5b9fcf50ed61a55344cda9bf4df485371132f6a3bf0d,768,float32,1.00000000,ok,
visec_hf_003724,3724,59,neutral,south,94a16f170b7ef500d136964e538339a38607835ba822d4e4d001abdbfda6ab8b,wav2vec2_embedding,b4_features_v1,86bde51fa76dd7f2c4c1bb28d7475d622639f869,data/interim/features/b4_features_v1/wav2vec2_chunk_o003584_n000256/wav2vec2_embedding/visec_hf_003724.npy,c0b53715f65b3c8e5be9df450d82fc334b8b462ae31b57694757c09a8be85077,768,float32,1.00000000,ok,
visec_hf_003725,3725,21,happy,south,32460f769b29387a9cdca79f52dd2d66e7aa1a1c7029ccf6b468ada7c13278d2,wav2vec2_embedding,b4_features_v1,86bde51fa76dd7f2c4c1bb28d7475d622639f869,data/interim/features/b4_features_v1/wav2vec2_chunk_o003584_n000256/wav2vec2_embedding/visec_hf_003725.npy,69c22fdbfdf5c3f69c27f94dc64c619effa1b42ffc7f1f2d9afddd8109cfc3cb,768,float32,1.00000000,ok,
visec_hf_003726,3726,15,happy,south,86208bfaf875bb40371935fc24c785130b2ebb62cf9ff1472e05c129d48325de,wav2vec2_embedding,b4_features_v1,86bde51fa76dd7f2c4c1bb28d7475d622639f869,data/interim/features/b4_features_v1/wav2vec2_chunk_o003584_n000256/wav2vec2_embedding/visec_hf_003726.npy,11ab865852bdb124f6d2a5752f59603043dc6683e13d537124dd856bf9271625,768,float32,1.00000000,ok,
visec_hf_003727,3727,6,happy,central,5bd436c55b23340fcda88ac934c8ce9aa519948db7485eb8bb1f4370ae89fd7b,wav2vec2_embedding,b4_features_v1,86bde51fa76dd7f2c4c1bb28d7475d622639f869,data/interim/features/b4_features_v1/wav2vec2_chunk_o003584_n000256/wav2vec2_embedding/visec_hf_003727.npy,bfce9f82933abd620d4e2c6fea714966d8c0a1228ce1cc53f4d7ea5a09f563eb,768,float32,1.00000000,ok,
visec_hf_003728,3728,54,sad,north,d0db2ee5b5572b7982c3449caf96550354aaf8b9fb5cd940ef5958bf1636820b,wav2vec2_embedding,b4_features_v1,86bde51fa76dd7f2c4c1bb28d7475d622639f869,data/interim/features/b4_features_v1/wav2vec2_chunk_o003584_n000256/wav2vec2_embedding/visec_hf_003728.npy,22336746dad69f2cd2660c435dc5fbc38b09044034fd3e5737e53b82b2058ad2,768,float32,1.00000000,ok,
visec_hf_003729,3729,27,neutral,north,649c472526fbbf5a1445833920248d454a01adf40d432e587826524517c2a51f,wav2vec2_embedding,b4_features_v1,86bde51fa76dd7f2c4c1bb28d7475d622639f869,data/interim/features/b4_features_v1/wav2vec2_chunk_o003584_n000256/wav2vec2_embedding/visec_hf_003729.npy,5eeecf344c70a809d8a115d347082fc72e67ddddff6574daeb89cec96edaaa75,768,float32,1.00000000,ok,
visec_hf_003730,3730,6,happy,central,0933050a52fb0533b4200a8f0fa7b6d1340bb179994d530425b5c124adbda2d6,wav2vec2_embedding,b4_features_v1,86bde51fa76dd7f2c4c1bb28d7475d622639f869,data/interim/features/b4_features_v1/wav2vec2_chunk_o003584_n000256/wav2vec2_embedding/visec_hf_003730.npy,a1cd6790600d14881bc89abd249b45fb78376fcee6b15791230643a677dccd11,768,float32,1.00000000,ok,
visec_hf_003731,3731,0,sad,south,65f96a67fec9872366f25478b0910a513fe0b708662ff7aa546977e5eeb064b8,wav2vec2_embedding,b4_features_v1,86bde51fa76dd7f2c4c1bb28d7475d622639f869,data/interim/features/b4_features_v1/wav2vec2_chunk_o003584_n000256/wav2vec2_embedding/visec_hf_003731.npy,c22310a95e32ae2fd4d1114f4ff3d8322148ff833f4aaa471786d179bc59417e,768,float32,1.00000000,ok,
visec_hf_003732,3732,0,sad,south,f1d2e958b447d5c8642efa7d708ff4afe1ae8e17371ccac0089c1be9b25e9c82,wav2vec2_embedding,b4_features_v1,86bde51fa76dd7f2c4c1bb28d7475d622639f869,data/interim/features/b4_features_v1/wav2vec2_chunk_o003584_n000256/wav2vec2_embedding/visec_hf_003732.npy,0361a864f10a13c5ec2769b23b2a6dab74f5c387d9051c38fc53006eedfa1b68,768,float32,1.00000000,ok,
visec_hf_003733,3733,0,angry,south,e22467f34eaeb3a14a069e22432a4191e6a31a08f4f4ccec7ca60dd8c937d0cd,wav2vec2_embedding,b4_features_v1,86bde51fa76dd7f2c4c1bb28d7475d622639f869,data/interim/features/b4_features_v1/wav2vec2_chunk_o003584_n000256/wav2vec2_embedding/visec_hf_003733.npy,6f44321d34aaf80d5265a8398f88a788a2df5c7be3ce005553fb3b34b7d98d8e,768,float32,1.00000000,ok,
visec_hf_003734,3734,0,angry,south,9ba83273fe20255b6e999d7498648014ff90e0d173c03d9be2e2c2c82945280a,wav2vec2_embedding,b4_features_v1,86bde51fa76dd7f2c4c1bb28d7475d622639f869,data/interim/features/b4_features_v1/wav2vec2_chunk_o003584_n000256/wav2vec2_embedding/visec_hf_003734.npy,726fa4809cfb2219a38356f867dec540e54a958dada151df2080a555bdc55372,768,float32,1.00000000,ok,
