chunk_id,eligible_offset,requested_size,actual_size,eligible_end_exclusive,first_source_row_index,last_source_row_index,first_sample_id,last_sample_id,selection_sha256,run_name,report_path,evidence_index_path,command
0,0,256,256,256,0,256,visec_hf_000000,visec_hf_000256,b5bfd590aec5fe6cd2b611f539539681321c00baa9d3fd2b950472bde5d05202,wav2vec2_chunk_o000000_n000256,reports/tables/b4/b4_wav2vec2_chunk_o000000_n000256_run.json,reports/tables/b4/b4_wav2vec2_chunk_o000000_n000256_feature_index.csv,.\.venv\Scripts\python.exe src\fedecai\features\extract_wav2vec2_chunk.py --chunk-offset 0 --chunk-size 256
1,256,256,256,512,257,515,visec_hf_000257,visec_hf_000515,49130469768b843e5c2bdb2e40e0eaee46e84982a62d0f880aa2e1df42568318,wav2vec2_chunk_o000256_n000256,reports/tables/b4/b4_wav2vec2_chunk_o000256_n000256_run.json,reports/tables/b4/b4_wav2vec2_chunk_o000256_n000256_feature_index.csv,.\.venv\Scripts\python.exe src\fedecai\features\extract_wav2vec2_chunk.py --chunk-offset 256 --chunk-size 256
2,512,256,256,768,516,778,visec_hf_000516,visec_hf_000778,415113218fda99a00c6fc713c49afb392ab65594b1725d6b20077d32d5034b57,wav2vec2_chunk_o000512_n000256,reports/tables/b4/b4_wav2vec2_chunk_o000512_n000256_run.json,reports/tables/b4/b4_wav2vec2_chunk_o000512_n000256_feature_index.csv,.\.venv\Scripts\python.exe src\fedecai\features\extract_wav2vec2_chunk.py --chunk-offset 512 --chunk-size 256
3,768,256,256,1024,779,1038,visec_hf_000779,visec_hf_001038,41037cd59a8a895d8719570054a55416a5e673c25933d56413d6e67836c67d3c,wav2vec2_chunk_o000768_n000256,reports/tables/b4/b4_wav2vec2_chunk_o000768_n000256_run.json,reports/tables/b4/b4_wav2vec2_chunk_o000768_n000256_feature_index.csv,.\.venv\Scripts\python.exe src\fedecai\features\extract_wav2vec2_chunk.py --chunk-offset 768 --chunk-size 256
4,1024,256,256,1280,1039,1299,visec_hf_001039,visec_hf_001299,7a24c798030907602279b404fa577b994c9f62e17f30cc722e38d2e1c00b773f,wav2vec2_chunk_o001024_n000256,reports/tables/b4/b4_wav2vec2_chunk_o001024_n000256_run.json,reports/tables/b4/b4_wav2vec2_chunk_o001024_n000256_feature_index.csv,.\.venv\Scripts\python.exe src\fedecai\features\extract_wav2vec2_chunk.py --chunk-offset 1024 --chunk-size 256
5,1280,256,256,1536,1300,1560,visec_hf_001300,visec_hf_001560,008d36b0307ba3b54a4c0a95228268934d1f3fa0f8e0e87370618bec007c9b04,wav2vec2_chunk_o001280_n000256,reports/tables/b4/b4_wav2vec2_chunk_o001280_n000256_run.json,reports/tables/b4/b4_wav2vec2_chunk_o001280_n000256_feature_index.csv,.\.venv\Scripts\python.exe src\fedecai\features\extract_wav2vec2_chunk.py --chunk-offset 1280 --chunk-size 256
6,1536,256,256,1792,1561,1821,visec_hf_001561,visec_hf_001821,7b43311b9adc6bd20224ea813beb0b5144b36cf5057003a2237ed495d4da1d83,wav2vec2_chunk_o001536_n000256,reports/tables/b4/b4_wav2vec2_chunk_o001536_n000256_run.json,reports/tables/b4/b4_wav2vec2_chunk_o001536_n000256_feature_index.csv,.\.venv\Scripts\python.exe src\fedecai\features\extract_wav2vec2_chunk.py --chunk-offset 1536 --chunk-size 256
7,1792,256,256,2048,1822,2089,visec_hf_001822,visec_hf_002089,d49ef01b8126d938683e6e96df50acc2be2dbcf04351dbf47c516054d9f499ea,wav2vec2_chunk_o001792_n000256,reports/tables/b4/b4_wav2vec2_chunk_o001792_n000256_run.json,reports/tables/b4/b4_wav2vec2_chunk_o001792_n000256_feature_index.csv,.\.venv\Scripts\python.exe src\fedecai\features\extract_wav2vec2_chunk.py --chunk-offset 1792 --chunk-size 256
8,2048,256,256,2304,2090,2359,visec_hf_002090,visec_hf_002359,494199af90b6a64625f8fc44fb910965ae1b71c21e8a80bdb9344cc3db7d4b77,wav2vec2_chunk_o002048_n000256,reports/tables/b4/b4_wav2vec2_chunk_o002048_n000256_run.json,reports/tables/b4/b4_wav2vec2_chunk_o002048_n000256_feature_index.csv,.\.venv\Scripts\python.exe src\fedecai\features\extract_wav2vec2_chunk.py --chunk-offset 2048 --chunk-size 256
9,2304,256,256,2560,2360,2629,visec_hf_002360,visec_hf_002629,7622a94912abb6ee9738c0a0ebd97121c73c541fca1a371b3e3240e11630a27a,wav2vec2_chunk_o002304_n000256,reports/tables/b4/b4_wav2vec2_chunk_o002304_n000256_run.json,reports/tables/b4/b4_wav2vec2_chunk_o002304_n000256_feature_index.csv,.\.venv\Scripts\python.exe src\fedecai\features\extract_wav2vec2_chunk.py --chunk-offset 2304 --chunk-size 256
