sample_id,speaker_id,accent,emotion,pca_1,pca_2
visec_hf_000000,0,south,happy,-0.21214761,0.5371372
visec_hf_000001,1,south,neutral,-0.95124716,-0.42808574
visec_hf_000002,2,south,angry,1.0121677,0.29768986
visec_hf_000003,3,north,happy,-0.34595704,1.092772
visec_hf_000004,4,south,neutral,-0.90929174,0.69250137
visec_hf_000005,0,south,angry,0.75196373,0.049352825
visec_hf_000006,5,south,neutral,-0.7346124,-1.1951728
visec_hf_000007,6,central,neutral,0.6632119,0.17434855
visec_hf_000008,7,south,neutral,-0.8814182,0.92307276
visec_hf_000009,0,south,angry,1.3411877,0.39670432
visec_hf_000010,8,south,neutral,0.72099787,0.20532775
visec_hf_000011,0,south,angry,1.0110354,-0.410093
visec_hf_000012,9,south,sad,0.9159286,0.3186479
visec_hf_000013,0,south,neutral,0.06886515,0.41546074
visec_hf_000014,0,south,sad,0.7028256,0.16866687
visec_hf_000015,10,north,neutral,-0.8189592,-0.04211653
visec_hf_000016,11,south,neutral,-0.6984373,0.2593066
visec_hf_000017,12,north,angry,-0.13028628,0.6412507
visec_hf_000018,0,south,angry,1.3646822,-0.49695578
visec_hf_000019,0,south,neutral,-0.2711368,0.18645349
visec_hf_000020,6,central,neutral,1.0442128,0.22522496
visec_hf_000021,0,south,angry,0.6090165,0.3160646
visec_hf_000022,0,south,angry,1.1798549,0.32565778
visec_hf_000023,0,south,happy,0.8606792,-0.20827474
visec_hf_000024,0,south,happy,1.2304593,-0.39940193
visec_hf_000025,13,south,angry,-0.4862082,-0.7690867
visec_hf_000026,12,north,sad,-0.7652398,-0.39248952
visec_hf_000027,14,north,happy,-0.12313396,0.5657083
visec_hf_000028,15,south,happy,-1.0881356,0.27512035
visec_hf_000029,15,south,neutral,-0.36628693,-0.86745644
visec_hf_000030,15,south,sad,-0.6005295,-1.2095698
visec_hf_000031,0,south,sad,1.3019665,-0.5182043
visec_hf_000032,0,south,sad,-0.19744135,-0.20327212
visec_hf_000033,0,south,sad,-0.054236285,-0.09533517
visec_hf_000034,16,north,sad,0.8438452,0.18208028
visec_hf_000035,0,south,happy,0.17797329,-0.5572509
visec_hf_000036,12,north,angry,-0.9224252,-0.5082434
visec_hf_000037,17,central,sad,-0.7037292,0.11482728
visec_hf_000038,0,south,neutral,0.13926296,0.28215727
visec_hf_000039,0,south,angry,1.5014648,-0.4361502
visec_hf_000040,16,north,neutral,-0.54540956,-0.19524543
visec_hf_000041,18,north,neutral,-0.80156344,-0.41334382
