sample_id,speaker_id,emotion,accent,feature_family,feature_version,artifact_path,artifact_sha256,shape,dtype,finite_fraction,status,error
visec_hf_000111,37,angry,central,mfcc40_summary,b4_features_v1,data/interim/features/b4_features_v1/balanced_12/mfcc40_summary/visec_hf_000111.npy,a670a4b18969b16233019e90708209042c1fc7e0f79f34757a834e886d34c13a,80,float32,1.00000000,ok,
visec_hf_000111,37,angry,central,egemaps_v02,b4_features_v1,data/interim/features/b4_features_v1/balanced_12/egemaps_v02/visec_hf_000111.npy,495ee94964a7816c6a5b3bec42669fa921bd3865ac13157143718353dd0fe327,88,float32,1.00000000,ok,
visec_hf_000111,37,angry,central,log_mel_80,b4_features_v1,data/interim/features/b4_features_v1/balanced_12/log_mel_80/visec_hf_000111.npy,c8856087f5ab97468fca98ecfcf90032ba31132f4dcd402a1fe3cfc7fefc9498,80x199,float32,1.00000000,ok,
visec_hf_000111,37,angry,central,pitch_contour,b4_features_v1,data/interim/features/b4_features_v1/balanced_12/pitch_contour/visec_hf_000111.npz,38615fcbdaef4f1ef94e6f281fd49e205f02e85499cfab22851ea78e85544af6,frames=199;summary=6,float32,0.92964824,ok,
visec_hf_000054,6,happy,central,mfcc40_summary,b4_features_v1,data/interim/features/b4_features_v1/balanced_12/mfcc40_summary/visec_hf_000054.npy,26e6b7b571ff6620e78416d6a0a7ed66c3242cfc0ccba4ab662cb42715221bf2,80,float32,1.00000000,ok,
visec_hf_000054,6,happy,central,egemaps_v02,b4_features_v1,data/interim/features/b4_features_v1/balanced_12/egemaps_v02/visec_hf_000054.npy,157b4689ef32097170961c439a7fb37018ad08f6c9526db7a04e74d5e7670ab0,88,float32,1.00000000,ok,
visec_hf_000054,6,happy,central,log_mel_80,b4_features_v1,data/interim/features/b4_features_v1/balanced_12/log_mel_80/visec_hf_000054.npy,2c251d033d91f885d7fe80a63c473e796b02294a511aab52bda102c479cc6870,80x301,float32,1.00000000,ok,
visec_hf_000054,6,happy,central,pitch_contour,b4_features_v1,data/interim/features/b4_features_v1/balanced_12/pitch_contour/visec_hf_000054.npz,582da9501dc525d384416e8f00494f6ee27bd75f8c898bb850c8b708fd90e813,frames=301;summary=6,float32,0.56146179,ok,
visec_hf_000114,33,neutral,central,mfcc40_summary,b4_features_v1,data/interim/features/b4_features_v1/balanced_12/mfcc40_summary/visec_hf_000114.npy,d6bea5dc4703196a113857903b465e2cc2a54b3a9829d721259397c2fdc308c8,80,float32,1.00000000,ok,
visec_hf_000114,33,neutral,central,egemaps_v02,b4_features_v1,data/interim/features/b4_features_v1/balanced_12/egemaps_v02/visec_hf_000114.npy,eb56d73b8339377d498b25c773a4707cc35f67ad161da0f7400ecb6963b0cdd4,88,float32,1.00000000,ok,
visec_hf_000114,33,neutral,central,log_mel_80,b4_features_v1,data/interim/features/b4_features_v1/balanced_12/log_mel_80/visec_hf_000114.npy,cd04f4e4064499a740b6a66251e9648d404840ff887d3d2216363d8bfc070b2c,80x801,float32,1.00000000,ok,
visec_hf_000114,33,neutral,central,pitch_contour,b4_features_v1,data/interim/features/b4_features_v1/balanced_12/pitch_contour/visec_hf_000114.npz,6108017eee447b91c2a4738da07bd69bfb1c89336462f18df9ad73d61d726152,frames=801;summary=6,float32,0.61922597,ok,
visec_hf_000037,17,sad,central,mfcc40_summary,b4_features_v1,data/interim/features/b4_features_v1/balanced_12/mfcc40_summary/visec_hf_000037.npy,4d1e3a6ae34641d0cf95ac6079696514cbdb3e6db70fc64b87678ec8a0f7908e,80,float32,1.00000000,ok,
visec_hf_000037,17,sad,central,egemaps_v02,b4_features_v1,data/interim/features/b4_features_v1/balanced_12/egemaps_v02/visec_hf_000037.npy,94f1103e0fa183bd443521c5ba1e51ae5102536b6c7c55dd3da65f74d8f82312,88,float32,1.00000000,ok,
visec_hf_000037,17,sad,central,log_mel_80,b4_features_v1,data/interim/features/b4_features_v1/balanced_12/log_mel_80/visec_hf_000037.npy,2488cbc86a718e0e514b5cf669bd0a4d570fc9772fc6f0899e08f092dd40fd75,80x199,float32,1.00000000,ok,
visec_hf_000037,17,sad,central,pitch_contour,b4_features_v1,data/interim/features/b4_features_v1/balanced_12/pitch_contour/visec_hf_000037.npz,12320a05d4432b1636cbefeec08ca38dac06906413266ede5f729f7a1040e57f,frames=199;summary=6,float32,0.73366834,ok,
visec_hf_000017,12,angry,north,mfcc40_summary,b4_features_v1,data/interim/features/b4_features_v1/balanced_12/mfcc40_summary/visec_hf_000017.npy,c9652a99b1e7f8a0b10f84c602fa39127b3a5a74cd626930c9edd5fca9d5984d,80,float32,1.00000000,ok,
visec_hf_000017,12,angry,north,egemaps_v02,b4_features_v1,data/interim/features/b4_features_v1/balanced_12/egemaps_v02/visec_hf_000017.npy,d66c02851a18ccbab8cee2f27a3b23ddd6d5e0b89ac9b3cf6762cc2af26bf51e,88,float32,1.00000000,ok,
visec_hf_000017,12,angry,north,log_mel_80,b4_features_v1,data/interim/features/b4_features_v1/balanced_12/log_mel_80/visec_hf_000017.npy,643cdd297bae4cc5dd0f0c236793ff1131db1fc29d83152a387ec7587befec36,80x666,float32,1.00000000,ok,
visec_hf_000017,12,angry,north,pitch_contour,b4_features_v1,data/interim/features/b4_features_v1/balanced_12/pitch_contour/visec_hf_000017.npz,7c3b6f083648b4dcb44d4e41607226dea3d9bf0d9430ef9f5b7a926da4d91520,frames=666;summary=6,float32,0.26276276,ok,
visec_hf_000003,3,happy,north,mfcc40_summary,b4_features_v1,data/interim/features/b4_features_v1/balanced_12/mfcc40_summary/visec_hf_000003.npy,804f3af34f182a804951d474f40e39bff8a5416f94149ab0e51f188e12ca73c8,80,float32,1.00000000,ok,
visec_hf_000003,3,happy,north,egemaps_v02,b4_features_v1,data/interim/features/b4_features_v1/balanced_12/egemaps_v02/visec_hf_000003.npy,fe9169e36acc79d8f7b3984045b38d76dd67c978a4b7e0ba1e0dd87817257394,88,float32,1.00000000,ok,
visec_hf_000003,3,happy,north,log_mel_80,b4_features_v1,data/interim/features/b4_features_v1/balanced_12/log_mel_80/visec_hf_000003.npy,ed70c3af38571cb1eb300293e818470db573ce2d234dd48bad508d3d98d57e1d,80x365,float32,1.00000000,ok,
visec_hf_000003,3,happy,north,pitch_contour,b4_features_v1,data/interim/features/b4_features_v1/balanced_12/pitch_contour/visec_hf_000003.npz,65158fa62383fd12526ad449d2b21e3a68c080bdfb6646f0f75a588b51a8f71a,frames=365;summary=6,float32,0.73972603,ok,
visec_hf_000015,10,neutral,north,mfcc40_summary,b4_features_v1,data/interim/features/b4_features_v1/balanced_12/mfcc40_summary/visec_hf_000015.npy,9019d51d2cf1aca0f7f6338a64ec2a4af56625a460156e94b1d1a4fb0c7af870,80,float32,1.00000000,ok,
visec_hf_000015,10,neutral,north,egemaps_v02,b4_features_v1,data/interim/features/b4_features_v1/balanced_12/egemaps_v02/visec_hf_000015.npy,f9b22b63fb69d5837d590d78e7c10100a5c2593cc736030a3cc0c46788205e44,88,float32,1.00000000,ok,
visec_hf_000015,10,neutral,north,log_mel_80,b4_features_v1,data/interim/features/b4_features_v1/balanced_12/log_mel_80/visec_hf_000015.npy,87da27cfce42d2d92746c7579bc66bf01a8e02c0e62319b90208b5b763d4a5ff,80x237,float32,1.00000000,ok,
visec_hf_000015,10,neutral,north,pitch_contour,b4_features_v1,data/interim/features/b4_features_v1/balanced_12/pitch_contour/visec_hf_000015.npz,bd437e3c8ca51425369f14ed0711fc1fa22be6015d64cef9b340bcf17b1a7309,frames=237;summary=6,float32,0.65822785,ok,
visec_hf_000082,29,sad,north,mfcc40_summary,b4_features_v1,data/interim/features/b4_features_v1/balanced_12/mfcc40_summary/visec_hf_000082.npy,f8aa43a32c66f63b673f798be78c5f5c258d18d2bab6b8ea40533bb8541f3ef3,80,float32,1.00000000,ok,
visec_hf_000082,29,sad,north,egemaps_v02,b4_features_v1,data/interim/features/b4_features_v1/balanced_12/egemaps_v02/visec_hf_000082.npy,d83488a92d3aa5cf439742887113a077c540a798e4ac925f18c77cb4d9bb8e3e,88,float32,1.00000000,ok,
visec_hf_000082,29,sad,north,log_mel_80,b4_features_v1,data/interim/features/b4_features_v1/balanced_12/log_mel_80/visec_hf_000082.npy,36115b05a79c6d0758b5051d37e18487f07bfab8d42a8eb307d62fb9220b42b5,80x237,float32,1.00000000,ok,
visec_hf_000082,29,sad,north,pitch_contour,b4_features_v1,data/interim/features/b4_features_v1/balanced_12/pitch_contour/visec_hf_000082.npz,9693c82d5bbd8645ce8b6d6ee373e278a34e4cce60b2c0e8fb456612265f5209,frames=237;summary=6,float32,0.67932489,ok,
visec_hf_000009,0,angry,south,mfcc40_summary,b4_features_v1,data/interim/features/b4_features_v1/balanced_12/mfcc40_summary/visec_hf_000009.npy,ea0f847afcc46c3fe59b9231f92bba6aca65e482b29740082860c954beefe2c8,80,float32,1.00000000,ok,
visec_hf_000009,0,angry,south,egemaps_v02,b4_features_v1,data/interim/features/b4_features_v1/balanced_12/egemaps_v02/visec_hf_000009.npy,0de73a87d8c9583a49c66d762e0207a924747d6f4e9e0f09bcef74cbf56fb75a,88,float32,1.00000000,ok,
visec_hf_000009,0,angry,south,log_mel_80,b4_features_v1,data/interim/features/b4_features_v1/balanced_12/log_mel_80/visec_hf_000009.npy,ceb8feb4ed73503ef201fa29cd517b27f401ab165f2d9ec33ac34aadeebb89f3,80x193,float32,1.00000000,ok,
visec_hf_000009,0,angry,south,pitch_contour,b4_features_v1,data/interim/features/b4_features_v1/balanced_12/pitch_contour/visec_hf_000009.npz,2df2cf80454d1851a071692648294cc9ad364b2b01ab18ba330ae9178ba330a0,frames=193;summary=6,float32,0.74611399,ok,
visec_hf_000028,15,happy,south,mfcc40_summary,b4_features_v1,data/interim/features/b4_features_v1/balanced_12/mfcc40_summary/visec_hf_000028.npy,3521c2fedcb27fd200ff0c6e80731d62a718f46ff005ef2d4626fbe3371044aa,80,float32,1.00000000,ok,
visec_hf_000028,15,happy,south,egemaps_v02,b4_features_v1,data/interim/features/b4_features_v1/balanced_12/egemaps_v02/visec_hf_000028.npy,2d32fdbd33e3a46748d7cf33d75764e1f4de10c87220dd77e7c3dcd892a9623f,88,float32,1.00000000,ok,
visec_hf_000028,15,happy,south,log_mel_80,b4_features_v1,data/interim/features/b4_features_v1/balanced_12/log_mel_80/visec_hf_000028.npy,71c332113f63d90e22ad9de5030bbd39702f0881ad18adddf50e57802ea20b96,80x282,float32,1.00000000,ok,
visec_hf_000028,15,happy,south,pitch_contour,b4_features_v1,data/interim/features/b4_features_v1/balanced_12/pitch_contour/visec_hf_000028.npz,bbc327abae4b6cdb427ca90c97814185ca8fb5874407c045bdc687e0ff9ebf14,frames=282;summary=6,float32,0.12056738,ok,
visec_hf_000001,1,neutral,south,mfcc40_summary,b4_features_v1,data/interim/features/b4_features_v1/balanced_12/mfcc40_summary/visec_hf_000001.npy,c594c4e68c3511413576244db5f8f87800dc292f823fd33372ba7683bc94f558,80,float32,1.00000000,ok,
visec_hf_000001,1,neutral,south,egemaps_v02,b4_features_v1,data/interim/features/b4_features_v1/balanced_12/egemaps_v02/visec_hf_000001.npy,bdbdcde54a1e9d2dfa8a7e263af7dd6f73ce7a983dc25a0a16793c2ce36d6638,88,float32,1.00000000,ok,
visec_hf_000001,1,neutral,south,log_mel_80,b4_features_v1,data/interim/features/b4_features_v1/balanced_12/log_mel_80/visec_hf_000001.npy,e8b83fa8b25d574651c558dfbdea804190053ab65355f668e480f17dd493db0c,80x161,float32,1.00000000,ok,
visec_hf_000001,1,neutral,south,pitch_contour,b4_features_v1,data/interim/features/b4_features_v1/balanced_12/pitch_contour/visec_hf_000001.npz,da72cb9702f630b87d4fb5ec957d6162427c25ac8ec33a4adf729c3f84bdaafa,frames=161;summary=6,float32,0.20496894,ok,
visec_hf_000012,9,sad,south,mfcc40_summary,b4_features_v1,data/interim/features/b4_features_v1/balanced_12/mfcc40_summary/visec_hf_000012.npy,73a20e5f4e16291e3de59e342d5e0984c5c62f7e1aeb2cd077c9d790be15c627,80,float32,1.00000000,ok,
