sample_id,source_row_index,speaker_id,accent,emotion,duration_sec,possible_clipping,high_silence_ratio,audio_sha256
visec_hf_000111,111,37,central,angry,1.984,False,False,fbb1b077e1869a3d76ce97e575bc2e3e0039a2cf995f122b85b82278b77bc4e1
visec_hf_000054,54,6,central,happy,3.008,False,False,de8ea72e7614e40387d15cded001d23a7a178ec4ac5ff959c7376266d4863322
visec_hf_000114,114,33,central,neutral,8.0,False,False,f7a380dbcfe7e773929c0d9f2a8440bb945d3675439b26b247d87cb351a1be97
visec_hf_000037,37,17,central,sad,1.984,False,False,a2cc118cee8340e833d1c27e312134118dc436170e31395435315c5d0b8c7c33
visec_hf_000017,17,12,north,angry,6.656,False,False,e5fa4326aeb9b67984c9e523a7477661fd5d3feff53f3534ffd4050e29051e03
visec_hf_000003,3,3,north,happy,3.648,False,False,7a583454493e26fb84ef3d85d2f420eab50aa203349d0627c8e45dc00e50aeee
visec_hf_000015,15,10,north,neutral,2.368,False,False,f76ddbd833a01d97a78a1fc63f2b80df1e18a150f03a60d540c6fa7dcb0369bd
visec_hf_000082,82,29,north,sad,2.368,False,False,136da758864aba0f447d85f5bafbaa4ffbaa5b84229b1bc440460d35ebe09d00
visec_hf_000009,9,0,south,angry,1.922,False,False,a1a12ac64113c9ead05afcbbd05f5b5ad313e5a03f062866f80c07779b4b2844
visec_hf_000028,28,15,south,happy,2.816,False,False,15c25e0aba2c8ce89151c36849add9b1e156aa436d428d949234db80151394ed
visec_hf_000001,1,1,south,neutral,1.6,False,False,fd27f151273d33970f727662ade2dd279dbeaa0398025b3bb9d0410100cc642f
visec_hf_000012,12,9,south,sad,2.368,False,False,5dc90574c33f11196f3a18e739831d537a8381c311183d5a5862840cf5d7a09e
