speaker_id,split,cv_fold,federated_client_id,accent,gender,samples
0,train,fold_3,client_south,south,female,2217
1,train,fold_2,client_south,south,male,34
2,validation,,,south,female,105
3,validation,,,north,female,82
4,validation,,,south,male,56
5,train,fold_4,client_south,south,female,21
6,train,fold_0,client_central,central,female,151
7,train,fold_3,client_south,south,male,2
8,train,fold_1,client_south,south,female,11
9,train,fold_2,client_south,south,female,10
10,train,fold_0,client_north,north,male,25
11,train,fold_3,client_south,south,male,2
12,train,fold_1,client_north,north,male,100
13,test,,,south,female,11
14,train,fold_4,client_north,north,male,115
15,test,,,south,male,220
16,train,fold_2,client_north,north,female,54
17,train,fold_1,client_central,central,female,2
18,validation,,,north,male,8
19,test,,,north,female,30
20,train,fold_3,client_south,south,male,2
21,train,fold_0,client_south,south,male,15
22,validation,,,north,female,12
23,test,,,south,female,48
24,validation,,,south,male,32
25,train,fold_4,client_north,north,male,51
26,test,,,north,male,48
27,train,fold_1,client_north,north,male,52
28,validation,,,south,male,27
29,validation,,,north,female,75
30,test,,,north,female,19
31,train,fold_0,client_north,north,female,6
32,validation,,,south,female,40
33,validation,,,central,female,15
34,validation,,,north,male,7
35,test,,,north,female,10
36,train,fold_0,client_north,north,male,21
37,train,fold_1,client_central,central,male,7
38,validation,,,south,male,62
39,test,,,south,female,24
40,train,fold_1,client_north,north,female,16
41,train,fold_2,client_north,north,male,6
42,train,fold_0,client_south,south,female,11
43,train,fold_3,client_south,south,male,2
44,validation,,,south,female,37
45,train,fold_2,client_south,south,female,7
46,train,fold_4,client_north,north,male,17
47,train,fold_1,client_north,north,female,23
48,train,fold_2,client_north,north,male,5
49,test,,,south,female,53
50,train,fold_0,client_north,north,male,33
51,train,fold_4,client_south,south,female,13
52,test,,,north,female,30
53,validation,,,south,female,26
54,train,fold_1,client_north,north,female,20
55,train,fold_0,client_south,south,female,17
56,train,fold_2,client_south,south,female,16
57,train,fold_2,client_north,north,male,77
58,test,,,south,female,20
59,test,,,south,female,34
60,test,,,north,female,17
61,train,fold_0,client_north,north,male,13
62,test,,,south,male,8
63,test,,,south,male,29
64,train,fold_2,client_south,south,male,21
65,validation,,,central,female,6
66,train,fold_0,client_north,north,male,9
67,train,fold_3,client_north,north,female,3
68,train,fold_0,client_south,south,female,3
69,test,,,central,male,14
70,train,fold_2,client_south,south,male,11
71,train,fold_0,client_south,south,female,10
72,train,fold_4,client_central,central,male,26
73,train,fold_4,client_north,north,female,14
74,train,fold_4,client_north,north,female,6
75,train,fold_3,client_north,north,male,10
76,train,fold_0,client_south,south,male,4
77,train,fold_0,client_north,north,female,6
78,validation,,,north,female,4
79,train,fold_3,client_south,south,male,1
80,train,fold_1,client_north,north,male,4
81,train,fold_4,client_south,south,male,4
82,train,fold_4,client_south,south,male,11
83,train,fold_1,client_south,south,female,31
84,validation,,,north,male,8
85,train,fold_2,client_south,south,male,14
86,test,,,south,female,15
87,train,fold_2,client_north,north,male,29
88,train,fold_1,client_south,south,male,6
89,train,fold_0,client_central,central,male,2
90,train,fold_0,client_north,north,male,11
91,train,fold_4,client_north,north,female,6
92,train,fold_4,client_central,central,female,5
93,train,fold_0,client_south,south,male,5
94,test,,,central,male,7
95,train,fold_2,client_north,north,male,16
96,train,fold_4,client_south,south,female,16
97,train,fold_2,client_south,south,male,18
98,train,fold_1,client_north,north,male,12
99,validation,,,south,male,12
100,train,fold_3,client_north,north,female,3
101,train,fold_1,client_central,central,male,15
102,validation,,,south,male,18
103,train,fold_4,client_north,north,male,6
104,train,fold_0,client_north,north,female,7
105,train,fold_4,client_south,south,female,7
106,train,fold_2,client_central,central,female,6
107,train,fold_4,client_north,north,female,10
108,test,,,north,female,20
109,train,fold_3,client_south,south,male,2
110,train,fold_1,client_south,south,female,8
111,train,fold_1,client_south,south,female,17
112,train,fold_3,client_south,south,male,2
113,train,fold_2,client_south,south,male,12
114,train,fold_2,client_south,south,female,4
115,train,fold_1,client_south,south,male,7
116,validation,,,central,male,5
117,train,fold_1,client_north,north,female,4
118,train,fold_3,client_south,south,male,1
119,test,,,central,female,3
120,train,fold_2,client_south,south,male,7
121,train,fold_3,client_north,north,female,2
122,validation,,,south,male,5
123,train,fold_4,client_south,south,female,8
124,train,fold_1,client_south,south,female,12
125,test,,,north,female,4
126,train,fold_1,client_central,central,male,5
127,train,fold_3,client_north,north,male,2
128,train,fold_1,client_south,south,male,6
129,train,fold_2,client_central,central,female,2
130,train,fold_3,client_south,south,male,2
131,train,fold_4,client_north,north,female,2
132,train,fold_2,client_north,north,male,5
133,train,fold_0,client_south,south,female,6
134,train,fold_3,client_south,south,female,2
135,train,fold_0,client_south,south,male,5
136,train,fold_3,client_south,south,female,1
137,train,fold_0,client_north,north,male,2
138,train,fold_1,client_south,south,female,1
139,train,fold_4,client_south,south,female,3
140,train,fold_3,client_south,south,male,2
141,validation,,,north,male,4
142,train,fold_2,client_north,north,female,2
143,train,fold_4,client_central,central,male,2
144,train,fold_3,client_south,south,male,2
145,test,,,central,male,1
146,train,fold_3,client_central,central,male,1
