split,accent,emotion,samples,speakers
train,central,angry,17,5
train,central,happy,102,6
train,central,neutral,94,11
train,central,sad,11,4
train,north,angry,223,24
train,north,happy,179,26
train,north,neutral,236,31
train,north,sad,167,23
train,south,angry,925,28
train,south,happy,465,23
train,south,neutral,717,34
train,south,sad,545,28
validation,central,angry,1,1
validation,central,happy,8,3
validation,central,neutral,14,3
validation,central,sad,3,1
validation,north,angry,55,6
validation,north,happy,49,5
validation,north,neutral,55,7
validation,north,sad,41,5
validation,south,angry,94,8
validation,south,happy,51,8
validation,south,neutral,157,8
validation,south,sad,118,9
test,central,angry,7,1
test,central,happy,7,2
test,central,neutral,10,3
test,central,sad,1,1
test,north,angry,53,5
test,north,happy,40,5
test,north,neutral,50,7
test,north,sad,35,5
test,south,angry,90,9
test,south,happy,72,6
test,south,neutral,172,8
test,south,sad,128,8
