experiment,scenario,kind,training_steps,validation_accuracy,validation_macro_f1,validation_uar,worst_accent_macro_f1,accent_macro_f1_gap,prediction_rows,test_untouched
E1_cnn,centralized,baseline,30,0.4458204334365325,0.41515947216986604,0.4079648749044029,0.3598901098901099,0.07123583953742457,646,True
E2_unconditional_grl,centralized,unconditional,30,0.4458204334365325,0.4381371288775544,0.44160575767507926,0.29863855950812473,0.13944297685926993,646,True
E3_emotion_conditioned_grl,centralized,conditional,30,0.4674922600619195,0.44852388121396536,0.4413621217087294,0.3605769230769231,0.10824712573605438,646,True
E4_fedavg_cnn_main,main,baseline,20,0.43034055727554177,0.4276778487899231,0.4340833606467825,0.3605769230769231,0.09883866133866137,646,True
E4_fedavg_cnn_stress,stress,baseline,20,0.44891640866873067,0.43606892106111406,0.434177865180815,0.3534090909090909,0.07656873410783294,646,True
E5_fedprox_cnn_main,main,baseline,20,0.43034055727554177,0.4241064004205256,0.4285944499071343,0.365530303030303,0.08979931588300766,646,True
E5_fedprox_cnn_stress,stress,baseline,20,0.43498452012383904,0.4281891125088726,0.42591336173932043,0.3072552447552448,0.1318761276388395,646,True
E6_fedavg_unconditional_grl_main,main,unconditional,20,0.4071207430340557,0.4072664091505613,0.432671528460614,0.3261904761904762,0.07548254181376862,646,True
E6_fedavg_unconditional_grl_stress,stress,unconditional,20,0.43808049535603716,0.42290823211875844,0.42036190320113626,0.36250000000000004,0.05457066847795322,646,True
E7_fedecai_main,main,conditional,20,0.42879256965944273,0.41542054230648073,0.4313498306566153,0.31954156954156954,0.12141421781440226,646,True
E7_fedecai_stress,stress,conditional,20,0.44427244582043346,0.40869967348522573,0.4126718015951054,0.27805555555555556,0.1655688592506776,646,True
